# Name: V/50
# Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
# Coosys	J2000_2000.000:	eq_FK5 J2000
# Table	V_50_catalog:
# Name: V/50/catalog
# Title: The main part of the Catalogue
# Column	RA	(F8.4)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
# Column	DEC	(F8.4)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
# Column	HD	(I6)	[1/225300]? Henry Draper Catalog Number	[ucd=meta.id]
# Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
      RA |      DEC |     HD |  Vmag
  7.8567 |  33.5817 |   2767 |  5.87
  7.9433 |  54.5222 |   2772 |  4.73
  7.9217 |  52.8394 |   2774 |   5.6
  7.8542 | -48.8036 |   2834 |  4.77
  7.8862 | -62.9581 |   2884 |  4.37
    7.89 | -62.9658 |   2885 |  4.54
  8.1117 |  43.4947 |   2888 |   6.7
  8.3304 |  70.9817 |   2904 |  6.42
    8.25 |  62.9317 |   2905 |  4.16
  8.1479 |  20.2944 |   2910 |  5.38
  8.0992 |   6.9556 |   2913 |  5.67
  8.1437 |  27.5806 |   2924 |  6.67
  8.2046 |  28.2803 |   2942 |   6.3
  8.2933 |   54.895 |   2952 |  5.93
  8.1825 | -63.0311 |   3003 |  5.09
  8.6037 |  66.7503 |   3038 |  6.48
  8.4212 | -29.5583 |   3059 |  5.55
  8.3471 | -71.2661 |   3112 |  6.13
  8.6158 | -52.3731 |   3158 |  5.57
  8.7304 |  13.3711 |   3166 |   6.4
  8.8121 |  -3.5928 |   3196 |   5.2
  8.8867 |  -0.5056 |   3229 |  5.93
  9.0346 |  54.1686 |   3240 |  5.08
  8.9779 |  13.2067 |   3268 |  6.41
  9.1137 |  60.3261 |   3283 |  5.79
  8.9212 | -48.0008 |   3302 |  5.51
  8.8892 | -54.8219 |   3303 |  6.06
  9.0833 |  27.2547 |   3322 |   6.5
  9.0125 | -14.9736 |   3325 |  6.45
  9.0288 | -22.8425 |   3326 |  6.06
  9.1942 |  44.4886 |   3346 |  5.13
  9.2429 |  53.8969 |   3360 |  3.66
  9.2204 |  33.7194 |   3369 |  4.36
  9.1971 |  15.2317 |   3379 |  5.89
    9.28 |  24.0142 |   3411 |  6.47
  9.3379 |  35.3994 |   3421 |  5.48
  9.9471 |  82.4939 |   3440 |   6.4
  9.3362 | -24.7672 |   3443 |  5.57
  9.1558 | -65.1247 |   3444 |  6.42
  9.3771 |   3.1353 |   3457 |  6.39
  9.3254 | -54.3942 |   3488 |  6.41
  9.6388 |  29.3117 |   3546 |  4.37
  9.7912 |  49.3544 |   3574 |  5.43
  9.8321 |  30.8608 |   3627 |  3.27
  9.8408 |  21.2506 |   3651 |  5.87
  9.9817 |  21.4383 |   3690 |  5.36
 10.1271 |  56.5372 |   3712 |  2.23
    9.67 | -73.1372 |   3719 |  6.85
  9.9913 | -33.9617 |   3735 |  6.69
  9.9667 | -44.7967 |   3750 |  6.01
 10.1192 | -16.5169 |   3794 |  6.49
 10.1371 | -23.8044 |   3795 |  6.14
 10.1767 |  -4.3519 |   3807 |  5.91
   10.28 |  39.4586 |   3817 |  5.33
   10.11 | -59.4544 |   3823 |  5.89
 10.5142 |  66.1475 |   3856 |  5.83
    10.4 |  24.6292 |   3883 |  6.04
 10.5162 |  50.5125 |   3901 |   4.8
 10.3317 |  -46.085 |   3919 |  4.59
 10.6296 |  58.7533 |   3924 |  6.17
 10.4433 | -56.5017 |   3980 |   5.7
 10.8671 |  47.0247 |   4058 |  4.94
 10.6787 | -38.4633 |   4065 |  6.06
 10.6742 | -60.2625 |   4088 |  5.98
 10.6183 | -65.4681 |   4089 |  5.39
 10.8975 | -17.9867 |   4128 |  2.04
   11.11 |  47.8642 |   4142 |  5.67
 10.9592 | -12.0117 |   4145 |  6.02
 10.8383 | -57.4631 |   4150 |  4.36
 11.4125 |  74.9881 |   4161 |  5.66
 11.1812 |  48.2844 |   4180 |  4.54
 11.0475 | -10.6094 |   4188 |  4.76
 11.0504 | -38.4217 |   4211 |   5.9
 11.3217 |  55.2217 |   4222 |  5.42
  11.185 | -22.0061 |   4247 |  5.24
 11.2379 | -42.6767 |   4293 |  5.94
 11.1346 | -62.4978 |   4294 |  6.07
 11.6625 |   69.325 |   4295 |  6.33
 11.3504 |  -4.6292 |   4301 |  6.15
   11.25 |  -53.715 |   4304 |  6.15
 11.3696 | -12.8808 |   4307 |  6.15
 11.5629 |  55.3053 |   4321 |  6.52
 11.5454 |  44.8614 |   4335 |  6.05
 11.4237 | -16.4242 |   4338 |  6.47
 11.6767 |  59.5744 |   4362 |  6.39
 11.9421 |  74.8475 |   4382 |  5.41
   11.44 | -47.5517 |   4391 |   5.8
 11.5492 | -22.5219 |   4398 |   5.5
 11.6375 |  15.4756 |   4408 |  5.38
 12.0379 |   72.675 |   4440 |  5.87
 11.7562 |  11.9739 |   4482 |   5.5
 11.8067 |  19.5789 |   4490 |  6.13
 11.8346 |  24.2672 |   4502 |  4.06
 11.8483 |   6.7408 |   4526 |  5.99
 11.9783 |  20.9253 |   4568 |  6.54
 11.9304 | -18.0614 |   4585 |   5.7
  12.275 |  57.8158 |   4614 |  3.44
 12.0046 | -21.7225 |   4622 |  5.57
 12.0725 |      7.3 |   4627 |  5.93
 12.0958 |   5.2806 |   4628 |  5.75
 12.2087 |  50.9683 |   4636 |  4.89
 12.1708 |    7.585 |   4656 |  4.43
 12.2446 |  16.9406 |   4676 |  5.07
 12.4533 |  41.0789 |   4727 |  4.53
 12.3567 | -13.5614 |   4730 |  5.59
 12.3079 | -24.1364 |   4732 |   5.9
 12.2362 | -46.6978 |   4737 |  6.27
   12.47 |  27.7108 |   4757 |   7.0
 12.4717 |  27.7103 |   4758 |   7.1
 12.3892 | -23.3617 |   4772 |  6.28
 12.6817 |  64.2475 |   4775 |  5.39
 12.5762 |  45.0022 |   4778 |  6.15
 12.5317 | -10.6444 |   4813 |  5.19
 12.1475 | -74.9233 |   4815 |  5.07
 12.8183 |  61.8058 |   4817 |  6.07
 12.7392 |  51.5081 |   4818 |  6.39
 12.5154 | -43.3947 |   4849 |  6.48
 13.7212 |  83.7072 |   4853 |  5.62
 12.8904 |  51.5711 |   4881 |  6.21
 12.6717 | -50.9869 |   4919 |  5.22
 12.8262 |    3.385 |   4928 |  6.37
 13.2671 |  61.1242 |   5015 |  4.82
 12.9671 | -43.7092 |   5042 |   6.9
 13.2225 |  38.5486 |   5066 |  6.69
 13.1692 | -24.0058 |   5098 |  5.46
 13.2521 |  -1.1442 |   5112 |  4.77
 13.3675 |  37.4181 |   5118 |  6.06
 13.4483 |  52.6892 |   5128 |  6.27
 13.3017 | -24.7769 |   5156 |  6.46
 13.1012 | -69.5044 |   5190 |  6.22
 13.7504 |  58.9728 |   5234 |  4.83
 13.6467 |  19.1883 |   5267 |  5.74
 13.5733 |  -8.7408 |   5268 |  6.16
 13.7717 |  48.6786 |   5273 |  6.27
 13.4079 | -62.8714 |   5276 |   5.7
 13.7417 |  23.6283 |   5286 |  5.47
 13.8112 |  24.5569 |   5316 |   6.2
 14.0537 |  57.9967 |   5343 |  6.21
 14.2317 |  68.7761 |   5357 |  6.37
 13.9937 |  27.2094 |   5382 |  6.09
 13.9267 |  -7.3472 |   5384 |  5.85
 14.1771 |  60.7167 |   5394 |  2.47
 14.1658 |  59.1811 |   5395 |  4.63
 14.1962 |  60.3628 |   5408 |  5.55
 14.0062 | -11.2667 |   5437 |  5.31
 13.9812 | -27.7756 |   5445 |   6.1
 14.1883 |  38.4994 |   5448 |  3.87
 13.7512 | -69.5269 |   5457 |  5.45
 14.3017 |  23.4175 |   5516 |  4.42
 14.4154 |  45.8397 |   5526 |  6.12
 14.6296 |  66.3522 |   5550 |  5.97
 14.4592 |  28.9922 |   5575 |  5.42
 14.5592 |  33.9508 |   5608 |  5.98
 14.4771 |  13.6958 |   5612 |  6.32
 14.5787 |  21.4044 |   5641 |  6.37
 15.1292 |  70.9831 |   5715 |  6.39
 14.6829 |   -11.38 |   5722 |  5.61
 14.6517 | -29.3575 |   5737 |  4.31
 14.5933 | -60.6964 |   5771 |  6.23
 15.0142 |  44.7111 |   5788 |  6.84
  15.015 |  44.7133 |   5789 |  6.04
 14.9571 |   6.4831 |   5820 |  6.11
 17.1863 |  86.2569 |   5848 |  4.25
   23.46 |  89.0156 |   5914 |  6.46
 15.5767 |   51.035 |   6028 |  6.47
