# Name: V/50
# Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
# Coosys	J2000_2000.000:	eq_FK5 J2000
# Table	V_50_catalog:
# Name: V/50/catalog
# Title: The main part of the Catalogue
# Column	RA	(F8.4)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
# Column	DEC	(F8.4)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
# Column	HD	(I6)	[1/225300]? Henry Draper Catalog Number	[ucd=meta.id]
# Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
      RA |      DEC |     HD |  Vmag
 78.9121 | -52.1819 |  34587 |  6.49
 79.3712 | -34.8953 |  34642 |  4.83
 78.4392 | -67.1853 |  34649 |  4.83
 82.3571 |  77.9775 |  34653 |  6.56
 79.7967 |   2.5958 |  34658 |  5.34
   79.71 |   -18.13 |  34721 |  5.96
 79.8967 |  -1.4122 |  34748 |  6.34
 80.4517 |  41.8044 |  34759 |  5.23
 80.2471 |  27.9572 |  34762 |  6.33
 80.8658 |  57.5444 |  34787 |  5.28
 80.3029 |    29.57 |  34790 |  5.76
 79.8229 |   -18.52 |  34798 |  6.36
 79.8262 | -18.5097 |  34797 |  6.54
 80.2358 |  19.8142 |  34810 |  6.18
 79.8937 | -13.1767 |  34816 |  4.29
 79.9962 | -12.3156 |  34863 |   5.3
 79.8487 | -27.3689 |  34868 |  5.99
   80.11 |  -5.3667 |  34880 |  6.39
 80.7096 |  41.0294 |  34904 |  5.54
 80.3304 |   4.0119 |  34959 |  6.57
 80.1121 | -21.2394 |  34968 |  4.71
 80.4317 |   8.4286 |  34989 |   5.8
 80.3825 |  -0.4164 |  35007 |  5.68
 80.4404 |  -0.3825 |  35039 |  4.73
 80.0858 | -34.6989 |  35046 |  6.34
 79.8421 | -50.6061 |  35072 |  5.45
 80.8454 |  28.9367 |  35076 |  6.46
 80.4625 | -13.7561 |  35104 |  6.56
 80.7083 |   3.5444 |  35149 |   5.0
 80.4425 | -24.7731 |  35162 |  5.06
 80.3204 | -34.3453 |  35165 |  6.09
 81.1633 |  37.3856 |  35186 |  4.99
 80.9071 |  16.6994 |  35189 |  6.08
 81.1596 |  31.2239 |  35238 |  6.28
 81.1604 |  31.1431 |  35239 |  5.94
 80.8796 |   5.3225 |  35242 |  6.35
 80.8271 |  -8.4158 |  35281 |   5.9
 81.3042 |  34.8553 |  35295 |  6.55
 81.1058 |  17.3833 |  35296 |  4.99
 80.9262 |  -0.1597 |  35299 |   5.7
 80.9642 |  -0.8672 |  35317 |  6.11
 80.8758 | -13.9272 |  35337 |  5.25
 80.9867 |  -7.8081 |  35369 |  4.14
    80.8 | -26.7058 |  35386 |  6.49
 81.1508 |   2.3528 |  35407 |  6.32
 81.1204 |  -0.8914 |  35410 |  5.08
 81.1192 |  -2.3969 |  35411 |  3.36
 81.1867 |   1.8464 |  35439 |  4.95
 81.2829 |   6.3497 |  35468 |  1.64
 81.5729 |  28.6075 |  35497 |  1.65
 81.1183 | -16.9761 |  35505 |  5.65
   80.85 | -39.6786 |  35515 |  5.71
 81.7262 |  35.4572 |  35519 |  6.15
 81.7037 |  34.3917 |  35520 |  5.94
 81.7138 |  33.2628 |  35521 |  6.15
 80.9125 | -37.3367 |  35528 |  6.82
 81.5237 |  16.7003 |  35532 |  6.25
 81.2567 | -10.3292 |  35536 |  5.61
   81.38 |  -0.5442 |  35548 |  6.57
 80.5921 | -56.1344 |  35580 |  6.11
 82.5425 |  63.0672 |  35583 |  5.42
 81.4458 |   0.5208 |  35588 |  6.16
 81.7846 |  30.2086 |  35600 |  5.74
 81.9121 |  34.4758 |  35620 |  5.07
   81.51 |  -5.5183 |  35640 |  6.23
 81.6617 |   6.8692 |  35656 |  6.42
 81.7921 |  17.9622 |  35671 |  5.42
 81.8075 |  15.2578 |  35693 |  6.16
 81.9087 |  21.9369 |  35708 |  4.88
 81.7092 |   3.0956 |  35715 |  4.59
 81.4992 | -19.6956 |  35736 |  5.89
 81.2317 | -44.2258 |  35765 |  6.08
   81.94 |  15.8742 |  35770 |   5.5
 78.1071 | -81.5417 |  35798 |  6.51
 82.0067 |  17.2389 |  35802 |  5.77
   81.77 | -11.9008 |  35850 |  6.35
 81.1925 | -52.3164 |  35860 |  6.27
  82.145 |  13.6789 |  35909 |  6.35
 82.0067 |   1.2983 |  35912 |  6.41
 82.3187 |  25.1506 |  35943 |  5.47
 82.4192 |  29.1864 |  35984 |  6.24
 81.9021 | -21.3756 |  35991 |  6.07
 82.7025 |  41.4619 |  36040 |   6.0
 82.6879 |  39.8258 |  36041 |  6.37
 82.2362 |  -3.3075 |  36058 |  6.39
 81.7721 | -40.9436 |  36060 |  5.87
 83.1408 |  57.2211 |  36066 |  6.48
 82.0612 | -20.7594 |  36079 |  2.84
 82.3483 |  -3.4464 |  36134 |  5.79
 82.6808 |  22.4625 |  36160 |  6.29
 82.6088 |  15.3603 |  36162 |  5.94
 82.4783 |   1.7892 |  36166 |  5.78
 82.4333 |  -1.0922 |  36167 |  4.71
 82.0637 | -37.2306 |  36187 |  5.57
 81.5804 | -58.9125 |  36189 |  5.14
 82.5825 |   4.2042 |  36217 |  6.21
 82.2779 | -30.1167 |  36255 |  6.75
 82.6962 |   5.9481 |  36267 |   4.2
 82.5862 |  -7.4347 |  36285 |  6.33
 82.8104 |   3.2922 |  36351 |  5.46
 83.1821 |  32.1919 |  36371 |  4.76
 84.9321 |  75.0439 |  36384 |  6.17
 83.0533 |  18.5944 |  36389 |  4.38
 83.3696 |  42.1089 |  36404 |  6.55
 83.0592 |  17.0581 |  36408 |  5.46
 82.8371 |  -6.7083 |  36430 |  6.22
 82.7817 | -20.8636 |  36473 |  5.55
 83.3646 |  32.8011 |  36484 |  6.48
 83.0021 |  -0.2844 |  36485 |  6.85
 83.0017 |  -0.2992 |  36486 |  2.23
 84.3175 |  66.6961 |  36496 |  6.26
 83.4083 |  34.7258 |  36499 |  6.27
 82.9825 |  -7.3014 |  36512 |  4.62
 82.5396 | -47.0778 |  36553 |  5.46
 84.3129 |  64.1547 |  36570 |  6.15
 83.3817 |  18.5403 |  36576 |  5.69
   81.75 | -68.6228 |  36584 |  6.03
 83.4117 |  20.4742 |  36589 |  6.18
 83.1721 |  -1.5919 |  36591 |  5.35
 82.8029 | -35.4706 |  36597 |  3.87
   83.28 |  -1.7183 |  36646 |  6.46
 83.4763 |  14.3056 |  36653 |  5.64
 83.1825 | -17.8222 |  36673 |  2.58
 84.1467 |  54.4289 |  36678 |  5.73
 82.3225 | -62.3144 |  36689 |  6.59
 83.3808 |  -1.1561 |  36695 |  5.34
 84.0662 |  47.7153 |  36719 |  6.11
 82.9004 | -45.9253 |  36734 |  5.86
   83.49 |   1.4078 |  36741 |  6.59
 83.5696 |   3.7669 |  36777 |  5.36
 83.5162 |  -1.0356 |  36779 |  6.22
 83.5167 |  -1.4706 |  36780 |  5.93
 83.8629 |  24.0394 |  36819 |  5.38
  83.705 |   9.4894 |  36822 |  4.41
 83.2137 | -38.5131 |  36848 |  5.48
 83.9813 |  27.6622 |  36859 |  6.27
 83.7846 |   9.9342 |  36861 |  3.54
 83.7854 |    9.935 |  36862 |  5.61
 83.2808 | -35.1397 |  36874 |  5.78
 82.5662 | -63.9278 |  36876 |  6.19
 83.8058 |    10.24 |  36881 |   5.6
 84.2183 |  40.1822 |  36891 |  6.09
 90.3342 |  85.1822 |  36905 |  6.11
 83.7537 |  -6.0092 |  36959 |  5.67
 83.7612 |  -6.0019 |  36960 |  4.78
 83.4671 | -29.8489 |  36965 |  6.53
 84.1258 |  25.9394 |  36994 |  6.49
 83.8408 |  -4.4933 |  37017 |  6.56
 83.8438 |  -4.4253 |  37016 |  6.24
 83.8467 |  -4.8383 |  37018 |  4.59
 83.8162 |  -5.3872 |  37020 |  6.73
 83.8171 |  -5.3853 |  37021 |  7.96
 83.8187 |  -5.3897 |  37022 |  5.13
 83.8221 |  -5.3878 |  37023 |   6.7
 83.8454 |  -5.4161 |  37041 |  5.08
 83.8796 |  -4.3647 |  37040 |  6.38
 83.8583 |    -5.91 |  37043 |  2.77
 83.8992 |  -3.2528 |  37055 |   6.4
 83.9146 |  -4.8558 |  37077 |  5.26
 84.2867 |  26.9242 |  37098 |  5.83
 84.0533 |  -1.2019 |  37128 |   1.7
 84.4404 |  33.5592 |  37138 |  6.33
 84.2658 |  17.0403 |  37147 |  5.54
 84.0625 |  -5.6481 |  37150 |  6.54
 84.2262 |   9.2906 |  37160 |  4.09
 84.2683 |   11.035 |  37171 |  5.94
 83.8142 |   -33.08 |  37192 |  5.78
 84.4112 |  21.1425 |  37202 |   3.0
 84.1488 |   -6.065 |  37209 |  5.72
  83.435 | -54.9022 |  37226 |  6.43
 84.3304 |   8.9519 |  37232 |  6.12
 84.6587 |  30.4925 |  37269 |   5.4
 84.0429 | -28.7078 |  37286 |  6.26
   85.61 |  65.6978 |  37289 |   5.6
 83.2483 | -64.2275 |  37297 |  5.34
 84.3642 |  -5.9383 |  37303 |  6.05
 84.2867 | -11.7756 |  37306 |  6.11
 84.5046 |   7.5414 |  37320 |  5.88
 84.7392 |  26.6178 |  37329 |  6.37
 83.4062 | -62.4897 |  37350 |  3.76
 84.4725 |  -4.8136 |  37356 |  6.19
 84.8267 |  29.2153 |  37367 |  5.96
 85.3346 |  53.4811 |  37394 |  6.23
 84.3187 | -27.8714 |  37430 |  6.16
 84.0112 | -47.3139 |  37434 |  6.11
 84.9342 |  25.8969 |  37438 |  5.18
 84.8625 |  21.7628 |  37439 |  6.34
   83.76 | -58.8711 |  37462 |  6.75
 84.6867 |     -2.6 |  37468 |  3.81
 84.6963 |  -2.5942 |  37479 |  6.65
 84.6575 |  -6.5739 |  37481 |  5.96
 84.7962 |   4.1214 |  37490 |  4.57
 84.4358 | -28.6894 |  37495 |  5.31
   83.74 | -61.1758 |  37501 |  6.32
 84.7212 |  -7.2131 |  37507 |   4.8
 85.1496 |  31.3581 |  37519 |  6.04
 85.1754 |  31.9208 |  37536 |  6.11
   84.88 |  -3.5647 |  37594 |   6.0
 85.7567 |  56.5817 |  37601 |  6.05
 84.8783 |  -9.7067 |  37635 |   6.5
 86.0358 |  61.4767 |  37638 |  6.15
 84.8179 | -17.8494 |  37643 |  6.38
 85.3375 |  29.4875 |  37646 |  6.43
 85.3237 |  16.5339 |  37711 |  4.86
 84.6817 | -40.7075 |  37717 |  5.82
 85.1896 |  -1.9428 |  37742 |  2.05
   85.19 |  -1.9428 |  37743 |  4.21
 85.1554 |   -2.825 |  37744 |  6.22
 85.4775 |  23.3264 |  37752 |  6.59
 85.2108 |  -1.1289 |  37756 |  4.95
 82.9704 | -76.3411 |  37763 |  5.19
 85.5162 |  22.6603 |  37784 |  6.36
 85.2733 |   0.3378 |  37788 |  5.93
 84.9121 | -34.0742 |  37795 |  2.64
 85.1917 | -10.4094 |  37808 |  6.52
 84.9575 | -32.6292 |  37811 |  5.45
 85.4179 |  -2.8961 |  37904 |  6.42
 84.2279 | -66.5603 |  37935 |  6.31
 85.8312 |  23.2042 |  37967 |  6.21
 85.4229 | -16.7256 |  37971 |  6.21
 85.6192 |   1.4747 |  37984 |  4.91
 83.6862 | -73.7414 |  37993 |  5.78
 85.5596 | -17.5303 |  38054 |  6.15
 85.3625 | -33.4006 |  38056 |  6.34
 85.7242 |  -6.7961 |  38089 |  6.02
 85.5579 | -22.3736 |  38090 |  5.87
 86.6267 |  56.1156 |  38091 |  5.94
 85.7887 |  -1.6131 |  38099 |  6.31
  86.475 |  49.8264 |  38104 |  5.47
 85.5483 | -30.5356 |  38138 |  6.19
 85.5629 | -34.6678 |  38170 |  5.29
 86.4562 |  40.5072 |  38189 |  6.58
   85.84 | -18.5575 |  38206 |  5.73
 87.2704 |  62.8081 |  38284 |  6.13
 86.4142 |   20.695 |  38307 |  6.95
 86.2579 |   4.0081 |  38309 |  6.09
 86.8112 |  42.5267 |  38358 |  6.29
 86.1183 | -20.1264 |  38382 |  6.34
 85.8758 | -39.4069 |  38385 |  6.25
 86.1104 | -22.4217 |  38392 |  6.15
 86.1158 | -22.4483 |  38393 |   3.6
 85.9212 | -45.8331 |  38458 |  6.39
 86.6896 |  15.8225 |  38478 |   6.0
 86.5117 |  -4.2683 |  38495 |  6.34
 86.7171 |   9.5222 |  38527 |  5.79
 86.6458 |   1.1681 |  38529 |  5.95
  86.805 |  14.4883 |  38545 |  5.72
 86.8592 |  17.7292 |  38558 |  5.49
 83.9012 | -78.8208 |  38602 |  6.05
 87.6417 |  56.9189 |  38618 |  6.54
 86.9287 |  13.8997 |  38622 |  5.29
 88.2313 |  68.4714 |  38645 |   6.2
 87.2937 |  39.1811 |  38656 |  4.52
 86.4996 | -32.3064 |  38666 |  5.17
 87.0933 |  20.8694 |  38670 |  6.07
 86.7387 | -14.8219 |  38678 |  3.55
 87.0008 |   6.4542 |  38710 |  5.27
 86.7817 | -16.2378 |  38713 |  6.17
 86.8612 | -10.5331 |  38735 |  6.03
 87.2542 |  24.5675 |  38751 |  4.86
  87.735 |  51.5147 |  38765 |  6.29
 86.9392 |  -9.6697 |  38771 |  2.06
 86.7696 | -28.6392 |  38804 |  6.22
 88.0725 |  58.9642 |  38831 |  6.14
 87.1454 |  -4.0947 |  38858 |  5.97
 86.6142 | -46.5972 |  38871 |  5.31
 86.8275 | -35.6747 |  38885 |  6.32
 87.3871 |  12.6511 |  38899 |  4.91
   87.76 |  37.3056 |  38944 |  4.74
 87.8725 |  39.1486 |  39003 |  3.97
 87.7421 |  27.9678 |  39004 |  5.56
 87.5108 |   9.8711 |  39007 |   5.8
 86.1933 | -65.7356 |  39014 |  4.35
 87.6204 |  14.3056 |  39019 |  5.52
 86.9921 | -40.6525 |  39040 |  6.61
 87.8571 |   32.125 |  39045 |  6.25
 87.5546 |   4.4233 |  39051 |  5.97
 86.8212 | -51.0664 |  39060 |  3.85
 87.4021 | -14.4836 |  39070 |  5.49
 84.2908 | -80.4692 |  39091 |  5.65
 86.8042 | -54.3608 |  39110 |  6.18
  87.625 |   2.0244 |  39118 |  5.98
 88.1646 |  39.5744 |  39182 |  6.45
 87.4729 | -22.9717 |  39190 |  5.87
 88.7408 |  59.8883 |  39220 |   5.2
 88.1671 |  33.9175 |  39225 |  5.98
 88.7117 |  55.7069 |  39283 |  4.99
 88.0975 |  19.8681 |  39286 |  6.06
 87.8417 |  -7.5181 |  39291 |  5.35
 87.3921 | -44.8753 |  39312 |  6.38
 88.0929 |  14.1717 |  39317 |  5.59
 88.3317 |  27.6122 |  39357 |  4.58
 87.8304 | -20.8792 |  39364 |  3.81
 87.8692 | -22.9261 |  39385 |  6.17
   88.11 |    1.855 |  39400 |  4.78
 88.3296 |  20.2992 |  39417 |  6.71
 88.0317 |  -9.0414 |  39421 |  5.97
   87.74 | -35.7683 |  39425 |  3.12
 89.3958 |  66.0961 |  39429 |  6.25
 87.4571 | -56.1667 |  39523 |  4.51
 87.9979 | -29.4486 |  39543 |  6.45
 87.6192 | -52.7678 |  39547 |  6.35
   89.06 |  51.8039 |  39551 |  6.49
 88.7458 |  31.7017 |  39586 |   5.9
 88.5954 |  20.2761 |  39587 |  4.41
 88.5558 |  10.5869 |  39632 |  6.12
 87.7217 | -52.1089 |  39640 |  5.17
 88.6342 |  11.7625 |  39662 |  6.59
 88.5654 |   3.2253 |  39685 |  6.31
 88.7362 |  19.7497 |  39698 |  5.92
 88.1383 | -37.6311 |  39720 |  5.63
 89.2704 |  49.0294 |  39743 |  6.47
 88.1987 | -38.5258 |  39752 |   6.7
 88.2787 | -33.8014 |  39764 |  4.87
 88.6838 |   0.9683 |  39775 |   6.0
 88.6446 |  -4.0639 |  39777 |  6.57
 82.5579 |  -84.785 |  39780 |   6.2
 88.4892 | -19.6383 |  39789 |  6.69
 88.7929 |   7.4069 |  39801 |   0.5
 86.9504 | -72.7022 |  39810 |  6.53
 88.9554 |   20.175 |  39816 |   5.4
 87.4733 | -66.9011 |  39844 |  5.11
 88.6817 | -11.7739 |  39853 |  5.66
 89.1408 |  28.9422 |  39866 |  6.32
 89.0146 |  13.9253 |  39881 |   6.6
 88.5587 | -29.1478 |  39891 |  6.36
 88.3454 | -42.9214 |  39901 |  6.55
 88.8762 |  -4.6164 |  39910 |  5.87
 88.8975 |  -4.7883 |  39927 |  6.28
 88.0846 | -57.1561 |  39937 |  5.94
 87.8458 | -64.0336 |  39963 |  6.36
 89.2337 |  24.2497 |  39970 |  6.02
 89.1167 |   9.5097 |  39985 |  5.99
 89.2062 |  11.5211 |  40020 |  5.87
 89.8817 |  54.2847 |  40035 |  3.72
 91.2887 |  75.5858 |  40055 |   6.4
 89.9404 |  55.3208 |  40062 |  6.44
 89.9504 |  54.5472 |  40083 |  6.14
 89.8408 |  49.9244 |  40084 |  5.89
 88.7188 | -39.9581 |  40091 |  5.57
 88.5446 | -50.3619 |  40105 |  6.52
 89.4987 |  25.9539 |  40111 |  4.82
 89.1012 | -14.1678 |  40136 |  3.71
 89.0596 | -22.8403 |  40151 |  5.96
 88.8746 | -37.1208 |  40176 |  4.97
 89.8821 |  44.9475 |  40183 |   1.9
 88.6712 | -49.6269 |  40200 |   6.1
 89.1437 | -23.2156 |  40235 |  6.36
 89.9837 |  45.9369 |  40239 |  4.26
 89.0871 | -31.3825 |  40248 |   5.5
 89.4758 |   1.2244 |  40282 |  6.22
 88.7092 | -52.6353 |  40292 |  5.29
 89.9304 |  37.2125 |  40312 |  2.62
 90.0792 |  44.5919 |  40325 |  6.22
 89.5487 |  -0.9942 |  40347 |  6.22
 89.2042 | -31.9761 |  40359 |  6.44
 89.7217 |  12.8086 |  40369 |   5.7
 89.6017 |   1.8369 |  40372 |   5.9
 90.2442 |  47.9019 |  40394 |  5.73
 88.5254 |   -63.09 |  40409 |  4.65
 89.7067 |   0.5531 |  40446 |  5.22
 88.5496 | -64.4822 |  40455 |  6.63
 90.4296 |  48.9594 |  40486 |  5.96
 89.3842 | -35.2833 |  40494 |  4.36
 89.7542 |  -9.3822 |  40535 |  6.12
 89.7679 |  -9.5583 |  40536 |  5.03
 89.9071 |  -1.4444 |  40574 |  6.63
 90.2925 |  31.0347 |  40588 |  5.98
 90.2517 |  27.5722 |  40589 |  6.05
 90.7029 |  49.9056 |  40626 |  6.05
 90.0142 |  -3.0742 |  40657 |  4.53
   89.31 | -53.4261 |  40665 |  6.45
 90.7233 |  43.3786 |  40722 |  6.42
 90.4233 |  22.4008 |  40724 |  6.37
 89.6567 | -44.0344 |  40733 |  5.81
 90.0737 | -12.8997 |  40745 |  6.22
  90.825 |  42.9117 |  40801 |   6.1
 89.7867 | -42.8153 |  40808 |  3.96
 91.2846 |  59.3931 |  40827 |  6.34
 90.7296 |  32.6358 |  40832 |  6.24
 91.1213 |  51.5733 |  40873 |  6.45
 90.5958 |   9.6475 |  40932 |  4.12
 87.5696 | -79.3614 |  40953 |  5.47
 91.6633 |  63.4536 |  40956 |  6.39
 90.5712 |   1.6944 |  40964 |  6.59
   90.46 | -10.5981 |  40967 |  4.95
 90.3046 | -25.4178 |  40972 |  6.05
 90.8637 |  19.6906 |  41040 |  5.14
 90.3183 | -33.9117 |  41047 |  5.55
 91.2642 |  42.9817 |  41074 |  5.87
 90.8529 |  11.6808 |  41076 |  6.08
   91.03 |  23.2633 |  41116 |  4.16
   90.98 |  20.1383 |  41117 |  4.63
 90.6408 | -14.4972 |  41125 |   6.2
 91.2608 |  37.9642 |  41162 |  6.34
  90.205 | -51.2164 |  41214 |  5.67
 91.3917 |  33.5992 |  41269 |  6.23
 90.8146 | -26.2844 |  41312 |  5.04
 91.5354 |  35.3875 |  41330 |  6.12
 91.0562 |  -6.7092 |  41335 |  5.21
 91.6462 |  38.4828 |  41357 |  5.36
 91.2425 |     5.42 |  41361 |  5.67
 91.2433 |   4.1586 |  41380 |  5.63
 91.5938 |  29.5125 |  41429 |  6.08
 91.8621 |  41.8542 |  41467 |  6.12
 91.2462 | -16.4844 |  41511 |  4.93
 91.0846 | -32.1725 |  41534 |  5.65
 91.3625 | -10.2428 |  41547 |  5.87
 90.5383 | -60.0969 |  41586 |  6.45
 92.4962 |  58.9358 |  41597 |  5.36
 92.0958 |  41.0556 |  41636 |  6.36
 91.6612 |  -4.1939 |  41692 |  5.38
 91.5387 | -14.9353 |  41695 |  4.67
 91.4404 | -24.1956 |  41698 |  6.95
 91.1183 | -45.0367 |  41700 |  6.35
 91.1675 | -45.0789 |  41742 |  5.93
 91.8929 |  14.7683 |  41753 |  4.42
 91.3629 | -35.5136 |  41759 |   5.8
 91.7163 | -11.1736 |  41814 |  6.66
 91.1954 | -48.4586 |  41824 |  6.58
 91.6333 | -23.1106 |  41841 |  5.47
 91.5229 | -29.7586 |  41843 |  5.81
 93.2129 |  65.7183 |  41927 |  5.32
   91.74 | -21.8128 |  41933 |  5.78
 92.1967 |     8.67 |  42035 |  6.55
 91.9233 | -19.1658 |  42042 |  5.31
  92.385 |    22.19 |  42049 |  5.93
 91.7654 | -34.3119 |  42054 |  5.83
 91.6708 | -42.2986 |  42078 |  6.12
 92.9417 |  52.6472 |  42083 |   6.3
 92.4333 |  23.1133 |  42087 |  5.75
 92.2412 |   2.4994 |  42111 |  5.73
 92.9021 |  48.7131 |  42126 |  6.82
 92.9025 |  48.7111 |  42127 |  6.09
 91.8817 | -37.2531 |  42167 |  5.02
 91.7579 | -45.0914 |  42168 |  6.51
 92.4008 |  -5.7111 |  42278 |  6.17
 92.2412 | -22.4275 |  42301 |   5.5
 91.9704 | -42.1539 |  42303 |   5.5
 92.3346 | -18.1261 |  42327 |  6.35
 92.3929 | -14.5842 |  42341 |  5.56
 92.7575 |  18.1294 |  42351 |  6.33
 92.8846 |  24.4203 |  42398 |   5.8
 92.4496 | -22.7742 |  42443 |  5.71
 92.1442 | -44.3561 |  42448 |  6.27
 93.4387 |  51.1725 |  42466 |  6.04
 93.0838 |  32.6933 |  42471 |  5.78
 92.9642 |  21.8686 |  42475 |  6.56
 92.8662 |  13.6386 |  42477 |  6.04
 92.4467 | -26.7008 |  42486 |  6.27
 93.0054 |  19.7906 |  42509 |  5.75
 91.5392 | -66.0397 |  42525 |  5.71
 92.7554 |  -6.7542 |  42536 |  6.15
 91.7642 | -62.1547 |  42540 |  5.05
 93.0796 |  22.9083 |  42543 |  6.39
 93.0137 |  16.1306 |  42545 |  4.95
  92.985 |  14.2089 |  42560 |  4.48
 92.6442 | -27.1542 |  42621 |  5.72
 93.9192 |  59.9992 |  42633 |  5.35
 92.9321 |  -4.6656 |  42657 |  6.18
 92.5429 | -40.3536 |  42682 |  5.58
 92.3471 | -49.5628 |  42683 |  6.49
 92.9658 |  -6.5503 |  42690 |  5.05
 92.8062 | -26.4822 |  42729 |  6.09
 93.3892 |  18.6803 |  42784 |  6.58
 93.3025 |  10.6275 |  42807 |  6.45
 94.7117 |  69.3197 |  42818 |   4.8
  93.185 |  -2.5044 |  42824 |  6.62
 92.6662 | -45.2819 |  42834 |  6.31
 92.5746 | -54.9686 |  42933 |  4.81
 93.1929 | -17.7631 |  42927 |  6.52
 93.6192 |  17.9064 |  42954 |  5.88
 94.4783 |  61.5153 |  42973 |  4.98
 93.7192 |  22.5067 |  42995 |  3.28
 93.9125 |  36.1486 |  43017 |  6.92
 93.4762 |  -3.7414 |  43023 |  5.83
 93.8446 |  29.4981 |  43039 |  4.35
 93.7121 |  19.1564 |  43042 |   5.2
 92.1842 | -68.8433 |  43107 |  5.06
 93.7854 |  13.8511 |  43112 |  5.91
 93.8546 |  16.1431 |  43153 |   5.3
 93.6529 |  -4.5683 |  43157 |  5.83
 93.4379 | -23.8619 |  43162 |  6.39
 93.3887 | -29.3961 |  43179 |  6.54
 93.7137 |  -6.2747 |  43232 |  3.98
 94.3946 |  46.4242 |  43244 |  6.52
 93.9375 |  12.5511 |  43247 |  5.33
 94.0792 |    23.97 |  43261 |  6.08
 93.9171 |   6.0661 |  43285 |  6.07
 93.9458 |   4.2836 |  43317 |  6.64
 93.8929 |  -0.5122 |  43318 |  5.65
 93.8737 |  -4.9153 |  43319 |  5.99
 94.0992 |  17.1814 |  43335 |  6.39
  93.975 |   1.1692 |  43358 |  6.37
 93.8583 |  -9.0353 |  43362 |   6.1
 94.9058 |  59.0108 |  43378 |  4.48
 94.5704 |  46.3606 |  43380 |  6.38
 94.2446 |  23.7408 |  43384 |  6.25
 94.1108 |  12.2722 |  43386 |  5.04
  93.785 | -20.2722 |  43396 |  5.91
 93.8229 | -18.4767 |  43429 |  5.99
 93.9371 | -13.7183 |  43445 |  5.01
 92.8125 | -65.5894 |  43455 |  5.01
 94.0883 |   1.0803 |  43461 |  6.63
 94.2775 |   9.9425 |  43525 |  5.39
 94.2433 |   7.0531 |  43526 |  6.57
 94.0321 | -16.6178 |  43544 |  5.92
 94.3888 |  14.0583 |  43583 |  6.59
 94.3171 |   5.1003 |  43587 |  5.71
 93.9883 | -29.7883 |  43636 |  6.67
 94.5233 |  14.3828 |  43683 |  6.16
 94.2646 |  -22.715 |  43745 |  6.07
 94.3967 | -10.7253 |  43760 |  6.75
 94.1379 | -35.1406 |  43785 |  4.37
  95.515 |  59.3722 |  43812 |  5.94
 94.7575 |   17.325 |  43819 |  6.32
 94.6687 |   9.0472 |  43821 |  6.24
 94.4237 | -16.8158 |  43827 |  5.14
   92.56 | -74.7531 |  43834 |  5.09
 94.1483 | -39.2644 |  43847 |   6.0
  94.255 | -37.7375 |  43899 |  5.53
 95.4421 |  53.4522 |  43905 |  5.36
 94.2896 | -37.2531 |  43940 |  5.87
 94.5571 | -19.9669 |  43955 |  5.52
 94.7108 |  -9.3903 |  43993 |  5.36
 94.7033 | -15.0247 |  44021 |  6.06
 95.0175 |  14.6511 |  44033 |  5.69
 94.7829 |  -8.5864 |  44037 |  6.22
 94.7458 | -20.9261 |  44081 |  5.81
 95.3004 |  29.5411 |  44092 |  6.43
 94.9283 |  -7.8231 |  44112 |  5.27
 94.0771 | -59.2136 |  44120 |  6.43
 94.9983 |  -2.9444 |  44131 |   4.9
 95.2179 |  11.7564 |  44173 |  6.54
 95.3579 |  17.7636 |  44234 |  6.35
 94.4654 | -52.7331 |  44267 |  6.41
 94.9208 | -34.3967 |  44323 |  5.78
 95.3575 |   2.2686 |  44333 |  6.31
  94.695 | -50.3592 |  44362 |  7.04
 95.0783 | -30.0633 |  44402 |  3.02
 93.7746 | -71.7028 |  44447 |  6.64
 95.3529 | -11.7733 |  44458 |  5.64
 97.0608 |  70.5356 |  44472 |  5.97
   95.74 |  22.5136 |  44478 |  2.88
 95.6521 |    12.57 |  44497 |   6.0
 95.1512 | -34.1439 |  44506 |  5.53
 96.2246 |  49.2881 |  44537 |  4.91
 95.0254 | -48.7411 |  44594 |   6.6
 96.6075 |   56.285 |  44691 |  5.64
 95.8271 |   3.7644 |  44700 |   6.4
 96.7037 |  58.4172 |  44708 |  5.21
  95.675 | -17.9558 |  44743 |  1.98
 95.8446 |  -4.6872 |  44756 |  6.67
 95.5283 | -33.4364 |  44762 |  3.85
 96.2192 |  29.7072 |  44766 |  6.71
 95.9421 |   4.5928 |  44769 |  4.44
 95.9437 |   4.5956 |  44770 |  6.72
 96.0096 |   8.8847 |  44783 |  6.26
    95.9 |  -9.8744 |  44816 |  6.19
 96.2204 |  16.0569 |  44867 |  6.33
 95.9417 | -15.0717 |  44891 |  6.24
 96.3871 |  23.3269 |  44927 |  6.06
 96.0429 | -11.5303 |  44951 |  5.22
 95.9483 | -19.7853 |  44953 |   6.6
   95.81 |   -31.79 |  44956 |  6.34
 96.3671 |  14.7219 |  44984 |  6.24
